n,K,AverageTime
300,55,5.43e-05
300,56,6.625e-05
300,57,5.635e-05
300,58,5.705e-05
300,59,5.125e-05
300,60,5.095e-05
300,61,7.82e-05
300,62,5.09e-05
300,63,5.105e-05
300,64,5.065e-05
300,65,5.12e-05
300,66,7.2e-05
300,67,7.305e-05
300,68,7.48e-05
300,69,8.92e-05
300,70,7.82e-05
300,71,7.605e-05
300,72,7.5e-05
300,73,7.26e-05
300,74,6.81e-05
300,75,6.055e-05
300,76,6.26e-05
300,77,6.1e-05
300,78,6.485e-05
300,79,7.77e-05
300,80,9.23e-05
300,81,6.36e-05
300,82,6.16e-05
300,83,7.83e-05
300,84,7.185e-05
300,85,9.26e-05
300,86,0.00010805
300,87,9.275e-05
300,88,6.38e-05
300,89,6.18e-05
300,90,7.48e-05
300,91,6.12e-05
300,92,6.225e-05
300,93,6.135e-05
300,94,8.18e-05
300,95,8.82e-05
300,96,6.125e-05
300,97,6.12e-05
300,98,6.135e-05
300,99,9.455e-05
300,100,6.865e-05
1000,1,0.00073335
1000,2,0.0004116
1000,3,0.0004554
1000,4,0.00033645
1000,5,0.0003075
1000,6,0.00031725
1000,7,0.00030045
1000,8,0.00024795
1000,9,0.0003075
1000,10,0.00024435
1000,11,0.00025175
1000,12,0.00027995
1000,13,0.0002517
1000,14,0.0002428
1000,15,0.00023515
1000,16,0.00021335
1000,17,0.0002282
1000,18,0.00022495
1000,19,0.00022
1000,20,0.0002424
1000,21,0.00021875
1000,22,0.00021075
1000,23,0.0002315
1000,24,0.00022255
1000,25,0.0002103
1000,26,0.00021145
1000,27,0.00021185
1000,28,0.000221
1000,29,0.00021295
1000,30,0.0002138
1000,31,0.00021265
1000,32,0.00021285
1000,33,0.00020625
1000,34,0.0002092
1000,35,0.00020545
1000,36,0.00021
1000,37,0.00023965
1000,38,0.0002336
1000,39,0.0002029
1000,40,0.0002152
1000,41,0.0002168
1000,42,0.00020505
1000,43,0.0002024
1000,44,0.0002099
1000,45,0.00020225
1000,46,0.0002086
1000,47,0.00020765
1000,48,0.00020205
1000,49,0.0002026
1000,50,0.0002027
1000,51,0.0002069
1000,52,0.00021185
1000,53,0.0002203
1000,54,0.00024695
1000,55,0.0002259
1000,56,0.00020515
1000,57,0.00023665
1000,58,0.00028225
1000,59,0.00022405
1000,60,0.0002379
1000,61,0.00025465
1000,62,0.0002148
1000,63,0.00022735
1000,64,0.00023305
1000,65,0.00023
1000,66,0.0002264
1000,67,0.0002507
1000,68,0.000245
1000,69,0.00028735
1000,70,0.00033695
1000,71,0.0002558
1000,72,0.00026705
1000,73,0.00026885
1000,74,0.0002792
1000,75,0.00024385
1000,76,0.0002822
1000,77,0.00026285
1000,78,0.0002354
1000,79,0.00028825
1000,80,0.0002648
1000,81,0.0003723
1000,82,0.00030735
1000,83,0.00026305
1000,84,0.0002505
1000,85,0.0002347
1000,86,0.0002554
1000,87,0.0002974
1000,88,0.00030855
1000,89,0.0002462
1000,90,0.00025455
1000,91,0.00023915
1000,92,0.00025325
1000,93,0.00034035
1000,94,0.0002788
1000,95,0.00034805
1000,96,0.0003324
1000,97,0.00028345
1000,98,0.0003241
1000,99,0.00033945
1000,100,0.00028645
5000,1,0.0048093
5000,2,0.0033799
5000,3,0.00278405
5000,4,0.00258575
5000,5,0.00225705
5000,6,0.0020428
5000,7,0.00189525
5000,8,0.00213485
5000,9,0.0017467
5000,10,0.0016203
5000,11,0.00167955
5000,12,0.0015653
5000,13,0.00160665
5000,14,0.00153245
5000,15,0.0014825
5000,16,0.00152115
5000,17,0.00150635
5000,18,0.00135165
5000,19,0.00131295
5000,20,0.0013788
5000,21,0.0014711
5000,22,0.0012054
5000,23,0.0011853
5000,24,0.001288
5000,25,0.0015277
5000,26,0.0012485
5000,27,0.0011978
5000,28,0.00116085
5000,29,0.00115955
5000,30,0.00126825
5000,31,0.00108555
5000,32,0.00107475
5000,33,0.00133215
5000,34,0.00113385
5000,35,0.0010648
5000,36,0.00104085
5000,37,0.00118735
5000,38,0.0009854
5000,39,0.00116825
5000,40,0.001348
5000,41,0.0011485
5000,42,0.001023
5000,43,0.00117365
5000,44,0.00124255
5000,45,0.00148935
5000,46,0.00127215
5000,47,0.000952
5000,48,0.0009632
5000,49,0.00095535
5000,50,0.0009773
5000,51,0.00092035
5000,52,0.00095525
5000,53,0.00098615
5000,54,0.00093915
5000,55,0.0009177
5000,56,0.0009184
5000,57,0.00091615
5000,58,0.0009191
5000,59,0.00091675
5000,60,0.00111175
5000,61,0.001324
5000,62,0.00103365
5000,63,0.00103625
5000,64,0.00093125
5000,65,0.00105145
5000,66,0.0014883
5000,67,0.0013798
5000,68,0.00133525
5000,69,0.00124805
5000,70,0.0012648
5000,71,0.0013684
5000,72,0.00131755
5000,73,0.00142375
5000,74,0.0020502
5000,75,0.00149695
5000,76,0.00136455
5000,77,0.0016442
5000,78,0.00200935
5000,79,0.0019314
5000,80,0.0015732
5000,81,0.00147315
5000,82,0.00120245
5000,83,0.00120715
5000,84,0.00128715
5000,85,0.0011763
5000,86,0.00146475
5000,87,0.0012199
5000,88,0.0015534
5000,89,0.0012708
5000,90,0.00115665
5000,91,0.00139425
5000,92,0.00140705
5000,93,0.00136495
5000,94,0.00134645
5000,95,0.00118075
5000,96,0.00121335
5000,97,0.0012742
5000,98,0.0013877
5000,99,0.0014306
5000,100,0.00117615
10000,1,0.00614355
10000,2,0.00505215
10000,3,0.0042929
10000,4,0.0042691
10000,5,0.00342575
10000,6,0.0033966
10000,7,0.0032904
10000,8,0.0033236
10000,9,0.0033883
10000,10,0.0028165
10000,11,0.0026865
10000,12,0.0030581
10000,13,0.00303425
10000,14,0.0030412
10000,15,0.00284405
